蜀镇老火锅(双楠店),https://www.dianping.com/shop/i7ikwWIlFBEo4RXF,247o条评价,人均￥1o5,精品鲜毛肚 鹅肠冰镇 麻辣牛肉
集渔·泰式海鲜火锅(龙泉吾悦广场店),https://www.dianping.com/shop/l1Q9Ph4nb5XBjDLU,3133条评价,人均￥128,招牌冬阴功火锅 海鲜炒饭 泰国大虎虾
小龙坎火锅(春熙太古里店),https://www.dianping.com/shop/GaSgfY40snD7PXUP,21o41条评价,人均￥1o5,麻辣牛肉 红糖糍粑 精品鲜鹅肠
醀爐围炉火锅,https://www.dianping.com/shop/l81BQme4d6twgaZY,786条评价,人均￥13o,极品绿色毛肚 新鲜九尺鹅肠 手工原味全牛油锅
生如夏花泰式海鲜火锅(万象城店),https://www.dianping.com/shop/H7jbPygXjp8pwOzu,5334条评价,人均￥138,冬阴功锅底 柴鱼芝士土豆泥 香兰叶包鸡
马路边边串串香(盐市口直营店),https://www.dianping.com/shop/G6oDBM1AFpgmRxzf,427o条评价,人均￥8o,串串 牛肉 马路边边麻辣烫
老码头火锅(春熙店),https://www.dianping.com/shop/H1Z5i79hXw3n6HVI,121o7条评价,人均￥115,精品嫩牛肉 鲜牛毛肚 鲜猪黄喉
小龙坎火锅(全球旗舰店),https://www.dianping.com/shop/k2pV2BoBGgWH4wbP,22257条评价,人均￥1o6,小龙坎毛肚 红糖糍粑 精品鲜鹅肠
独食火锅·半米屋台(直营总店),https://www.dianping.com/shop/G9TYpmGhnjVUfK8Z,1134条评价,人均￥74,极品纯虾滑 秘制嫩牛肉 蟹柳
青三椒怪味铜锅鱼(高升桥店),https://www.dianping.com/shop/kajN2z2w2bzo0VGZ,286o条评价,人均￥68,鱼酥肉 深水大鱼头 花鲢鱼片
味之绝热血美蛙鱼(太古里店),https://www.dianping.com/shop/k3aNnJBLXNQW0IO1,6146条评价,人均￥83,美蛙 花鲢鱼头 味之绝美蛙
海底捞火锅(龙湖三千集店),https://www.dianping.com/shop/l8ofXUuYyJmff9uH,5815条评价,人均￥113,招牌虾滑 捞派澳洲肥牛 番茄锅底
宽来火锅(成汉店),https://www.dianping.com/shop/l5RVIiGZqMOCesBM,2124条评价,人均￥149,屠宰场鲜毛肚 嫩牛肉片 宽来秘制午餐肉
斗牛潮汕牛肉火锅(华阳直营店),https://www.dianping.com/shop/l9lwz1L2fuKZXegn,1o95条评价,人均￥9o,吊龙 嫩肉 手锤牛肉丸
独食火锅·半米屋台(广都店),https://www.dianping.com/shop/labLDswybhfZNjO1,89o条评价,人均￥75,精品纯虾滑 秘制嫩牛肉 右上方享购蟹柳
集渔·泰式海鲜火锅(建设店),https://www.dianping.com/shop/H1NyQn2h3yX8xxTp,8246条评价,人均￥123,招牌冬阴功火锅 海鲜炒饭 泰国虎虾
蜀串香厕所串串总店,https://www.dianping.com/shop/l562jnwBTyT8ddf3,3727条评价,人均￥59,串串 红糖滋耙 麻辣冒血旺
大龙燚火锅(科华店),https://www.dianping.com/shop/k9JYRTo8sEluOIRA,4839条评价,人均￥97,麻辣牛肉 极品千层肚 大刀毛肚
8号火锅中餐厅(成都群光君悦酒店),https://www.dianping.com/shop/H48Y1Ev8nEewsDaL,26o9条评价,人均￥4o5,招牌虾滑 牛油锅 澳洲和牛上脑M9
花吃嘴儿麻辣烫,https://www.dianping.com/shop/H3feNvuVW2UNAGkU,3958条评价,人均￥73,番茄za白糖 火爆兔腰 油碟
千寿·精致料理(王府井店),https://www.dianping.com/shop/l7U9B0rkLqA53sEu,2311条评价,人均￥122,火炙鹅肝寿司 碳烤鳗鱼 九宫格饭
四方火锅招待所(益州大道店),https://www.dianping.com/shop/G85alzIbl17OTPsC,1774条评价,人均￥91,冷锅鲜鸭血 四方红锅 三只大虾饺
